bedrooms,sqft_living,sqft_lot,floors,sqft_above,price
3,1620,998,2.5,1540,415000
3,1408,989,3,1408,416286
3,3040,4535,2,3040,478000
5,4490,6000,2,3200,890000
2,1590,1426,2,1590,419190
4,2450,4247,2,2450,712198
4,1440,7680,1,1200,397000
2,1100,3000,1.5,1100,450000
3,1350,7740,1,860,353000
4,2150,37981,2,2150,609000
3,1490,8366,1,1010,234000
3,2000,7000,2,2000,561000
2,1030,4400,1,1030,469000
2,720,6687,1,720,329350
5,2020,5000,1.5,2020,488000
3,1580,8151,1,1100,279900
4,2110,13850,2,2110,606000
4,1300,7054,1,1300,312000
3,1630,7475,1,1160,650000
4,3370,8103,1,1970,1135000
4,1890,6156,1,980,325000
4,1520,7983,1,1520,425000
2,900,5160,1,900,219000
3,1050,6874,1,1050,250000
3,1260,6500,1,1260,390000
6,3470,117612,1.5,3470,475000
4,2290,12047,2,2290,736000
4,2810,23400,1,1710,407000
3,1650,13816,2,1650,272000
3,1640,14374,1,1140,362000
3,1850,10109,2,1850,535000
4,2000,5390,2,2000,284000
3,1410,9647,1,1410,367500
4,1500,11600,1,1000,379900
3,2460,54885,2,2460,520000
3,1010,7034,1,1010,175000
2,1230,929,2,1020,460000
4,2331,3826,2,2331,345000
5,2240,7770,1,1340,455000
4,2450,10117,1,1580,610000
4,3100,15480,2,2400,563000
4,2060,5000,1,1030,612500
3,1850,7684,1,1320,218000
4,1840,10720,1,960,404000
4,3740,32417,2,3740,860000
3,1420,8580,1,1420,136500
3,1510,6083,1,860,313950
3,2130,6500,1,1170,575000
4,3490,6906,2,2280,1225000
3,1630,11800,1,1630,280000
3,1790,7167,2,1790,515000
4,2000,5684,2,2000,513000
4,2260,29930,2,1400,599000
4,3030,7864,2,3030,685000
3,1310,8160,1,1310,365000
4,3880,14550,2,3880,762300
4,3760,10920,1.5,2400,1580000
5,3040,8111,2,3040,562000
5,2910,9636,1,1690,530000
3,2970,11985,1,1770,525000
2,1660,6000,1,1160,484000
4,3200,12369,2,3200,725126
4,2680,18768,1,2680,360000
3,1230,9568,1,1230,387000
4,2740,45732,2,2740,483500
4,3380,8330,2,3380,655500
3,1110,6250,1,1110,345000
5,1800,3780,1.5,1400,533000
3,1900,5520,1,1280,385000
2,930,36478,1,930,675000
3,1690,7735,1,1060,197000
3,1420,4080,1.5,1420,485000
5,4510,15175,2,4510,1870000
3,1980,8000,1,1560,295000
2,1170,2400,1,740,499000
3,2200,1970,2,1610,1050000
3,800,8850,1,800,191000
3,1480,1171,3,1480,500000
5,2890,5000,1,1310,390000
3,2690,4047,3,2690,979000
4,3569,8327,2,3569,580000
3,1270,1320,3,1270,369950
5,4490,10279,2,3930,1800000
4,3040,6425,2,3040,776000
3,1170,1249,3,1170,519950
5,2060,8632,1,1030,255000
3,990,6000,1,990,495000
4,2430,5203,2,2430,510000
4,4460,103382,2,4460,1150000
3,1250,10122,1,1250,253000
3,1540,6760,1,1210,503000
3,1600,7000,2,1600,275000
3,1110,8423,1,1110,249000
3,1840,10723,1,1220,310000
3,2520,5401,1,1360,750000
3,2680,327135,2,2680,630000
9,3830,6988,2.5,2450,599999
4,2410,9549,1,1780,758000
4,1720,10018,1,1720,248500
3,2070,37904,1,1420,310000
3,1760,9055,2,1760,460000
3,1680,10500,1,1680,675000
2,1550,2400,1.5,1550,526000
3,4120,60392,2,3180,560000
4,1830,9548,2,1830,415000
3,1400,7410,1,1400,246000
3,1870,12381,1,1870,314500
7,6210,8856,2.5,4760,3200000
2,1040,3500,1.5,1040,420000
3,2720,149410,1.5,2720,535000
3,1010,9360,1,1010,350000
3,1580,9147,1,1210,515000
4,2600,6050,2,1960,749950
3,1920,9180,2,1920,230000
3,2350,5080,1.5,1780,568000
1,1100,4373,1,820,250000
4,2510,13695,1,1280,581000
3,3240,108366,2,3240,651000
3,2460,108900,1,1860,600000
2,1010,3885,1.5,1010,500000
2,820,2723,1,820,475000
5,2420,8560,1,1620,352000
3,1770,8165,2,1770,420000
2,1350,3900,1,1350,428000
3,1960,4788,1,1090,599000
4,3305,16164,1.5,2245,492000
2,2550,5663,1,1720,630000
5,4130,226076,2,3170,900000
4,2310,13300,1,1890,1110000
4,1650,5000,1,1650,575000
4,2650,4316,1.5,1520,705000
4,1890,5940,1,1470,940000
3,2190,8000,1,2190,313000
3,2030,6500,2,2030,618080
3,2270,5175,2,2130,640000
3,1610,4160,1,1010,485000
2,760,3001,1,760,300000
2,1640,17335,1,840,379500
3,1630,12295,2,1630,339950
6,3560,6480,2.5,3560,1500000
3,2960,5500,2,2440,1340000
3,1940,37565,1,1940,500000
3,1410,7566,1,1410,239900
3,1040,16986,1,1040,314950
2,820,6400,1,820,361280
2,910,22000,1,910,100000
7,3700,7647,2,3700,540000
4,2180,11200,1,2180,480500
3,1600,4271,2,1600,280000
3,1500,6180,1,1060,440000
3,1340,4284,1,1080,530000
3,1860,13374,1,1860,560000
3,2540,7200,1.5,1600,775000
2,1040,13100,1,1040,160000
3,1380,11130,1,1380,209950
3,1640,10762,1,1130,226500
5,3000,6000,1,1500,380000
4,2140,13000,1,1320,409500
3,1760,6428,1,980,690000
3,1660,8307,1,1660,405000
3,1830,13042,2,1830,375000
4,2210,8556,1,1210,794154
4,1490,6600,1,1490,185000
3,1260,1270,2,1040,245000
5,4270,8076,2,3400,1532500
4,3900,8391,2,3900,1040000
2,1150,1027,3,1150,425000
4,2656,21195,2,2656,495000
5,2410,5003,1,1410,365000
3,1606,1452,3,1606,417250
2,820,681,3,820,339950
2,1540,6872,1,820,615000
3,2090,8354,2,2090,403000
5,3160,11470,1,1780,980000
4,1730,8320,1,1230,258000
3,1670,4080,1,1170,533000
4,2550,4630,2,2550,537500
5,3040,9601,1,1970,830000
3,1250,4620,1.5,1150,712000
4,2020,6236,2,2020,262000
4,2660,5500,2,2660,753888
2,980,5000,2,980,134000
3,1960,8000,1,1290,402000
2,720,5040,1,720,205000
2,1360,1349,2,1050,553650
2,1870,4950,1,1870,559950
4,2130,8800,1,1100,260000
4,1810,6509,2,1810,270000
2,2200,89298,1,1100,295000
3,1690,4500,1.5,1690,719000
3,1940,8547,1,1460,266000
4,2320,6270,2,2320,325900
4,2060,26036,1,1160,647500
4,3410,5000,2,2190,1039000
4,2250,41688,2,2250,569000
3,1390,7399,1,1390,246000
2,1060,4960,1,1060,515000
3,1490,8995,1,1490,207000
4,2480,9195,1,1390,780000
5,2440,20828,1.5,2440,489990
3,2240,87625,1.5,1480,335000
3,1920,7229,2,1920,295000
3,1890,9920,1,1230,385000
4,2250,13515,1,2150,350000
2,1270,3008,1,650,235000
2,960,1808,2,960,358000
4,3290,6465,2,3290,716500
4,2000,6120,1,1100,228000
2,1020,8155,1,1020,405000
4,1840,9600,1,1220,538000
3,1980,6760,1,1980,530000
6,3510,5760,2.5,3510,1750000
2,1230,3600,1.5,1230,636000
4,2280,65836,2,2280,535000
3,2430,12757,1,1340,1500000
3,2920,3942,3,2920,868500
4,2280,2850,1.5,1540,530000
3,1510,43560,1,1510,450000
3,950,6000,1,790,230000
3,1190,3000,2,1190,229000
3,1310,9282,1,1310,437000
5,2800,3200,1.5,1910,1307000
3,1750,3354,2,1750,595000
3,1320,5750,1.5,1320,660000
4,2460,7350,2,2460,347500
3,1240,10800,1,1240,297950
3,1260,7964,1,1260,245000
6,2820,15600,1.5,1970,543200
4,3820,24166,2,3310,1250000
3,1540,1614,3,1470,413450
2,1550,435600,1.5,1550,330000
3,1460,7700,1,1460,424500
3,1390,16000,1,1390,230000
3,2640,4080,2,1840,930000
3,1590,9620,1,1590,349000
4,1910,6960,1.5,1910,835000
3,2015,16807,2,2015,988500
3,1410,1197,3,1410,500000
2,1110,957,2,930,499000
2,860,1277,2,860,321950
3,2310,4729,2,2310,494000
2,1020,1060,3,1020,441750
2,980,1179,2,980,438000
4,4230,37769,2,4230,985000
3,1640,11050,1,1640,352000
4,3810,13592,1,2560,839900
4,2790,10819,2,2790,765000
4,1750,5500,1.5,1050,460000
4,1430,8355,1.5,1430,224500
3,1850,4597,2,1850,254000
2,960,28717,1,960,255000
3,2480,45302,1,1620,610000
4,3750,11025,2,3750,920000
4,2600,11951,2,2600,402500
3,1390,8700,1,840,280950
4,2260,7753,2,2260,604000
4,2470,7447,2,2470,565000
2,810,7980,1,810,255000
4,1650,6000,1,1000,445000
3,3000,11665,1.5,3000,2400000
2,720,18000,1,720,195000
3,1390,48257,1,1390,275000
3,1445,1606,2,1300,387000
2,1840,3300,1.5,1130,490000
3,2100,5824,2,2100,505000
3,1060,10464,1,1060,303500
3,1500,6337,1,1500,270000
4,1970,7213,1,1170,323000
3,1410,1253,3,1410,382000
4,3720,9450,1,1960,1370000
4,2190,14439,1,1180,280000
3,1920,8075,1,1510,260000
3,1160,8320,1,1160,201500
4,5860,52889,2,4910,1157200
4,2000,4000,1.5,1450,536500
4,2163,5883,2,2163,248000
5,3480,57499,1,2340,532000
4,2840,6268,2,2840,580000
2,1150,4400,1,1150,463000
4,3100,3773,2,2000,742500
3,1420,14850,1,1020,260000
4,2430,32496,1,2430,590000
4,1930,7452,1,1430,312000
3,1660,10140,1,1370,566000
3,1400,7293,1,1400,511555
4,2660,4000,2,2660,583000
4,2000,13300,1,1200,290000
4,2130,8078,1,1380,311100
3,1352,1694,3,1352,325000
3,1750,11340,1,1300,491300
5,2320,8100,1,1160,315000
2,1420,81892,1,1180,360000
4,1940,3784,2,1940,330000
3,1410,4800,1,1410,481450
3,1360,9948,1,1360,234950
3,1220,7250,1,1220,251000
4,2830,20345,2,1980,782000
4,3780,10308,2,3780,833000
4,2330,14289,2,2330,542500
3,3560,107290,2,3560,851000
4,1470,70800,1,1470,325000
4,3060,48787,2,3060,415000
3,1030,6127,1,880,252500
4,1930,9653,1,1930,465000
3,1780,120661,1,1780,336900
3,2000,9202,2,2000,225000
3,1690,9583,1,1690,270000
5,5190,23716,2,3390,1702500
3,1300,5413,1.5,1300,536000
4,2400,29252,2,2400,585000
2,1150,6634,1,860,445000
4,2310,7490,2,2310,320000
4,2730,3047,2,2400,769900
4,2840,4500,2,2840,557000
2,1020,1525,2,1020,212000
3,1340,1384,3,1340,376000
4,3540,159430,2,3540,800000
5,7270,130017,2,6420,2238888
3,998,904,2,798,324000
5,3060,7015,1,1600,549900
3,2130,6969,2,2130,320000
4,2520,6000,1,1400,875000
4,1940,9533,1,1080,265000
3,1350,1250,3,1270,394950
4,2160,5298,2.5,2160,842500
3,1370,1350,2,1010,368000
4,5420,101930,1,3890,1225000
4,2830,5000,2,2830,885000
3,2010,2287,2,1390,453246
4,3300,12090,2,3300,927000
2,1230,1391,2,870,490000
3,1720,7119,1.5,1720,341000
1,810,2451,1,810,235000
3,1560,8078,1.5,1560,1200000
3,2560,216777,1,2560,560000
4,4700,38412,2,3420,900000
2,1220,2500,1,770,255000
5,3650,20150,1,2360,1575000
3,2170,12508,1.5,1650,876650
4,2540,228254,1,1450,540000
2,910,4500,1.5,910,350000
4,2980,4930,2,2890,750000
4,2120,4650,1,1190,582000
4,3460,3997,2,2560,1315000
5,2480,10090,1,1300,372500
3,2200,16921,2,2200,410000
4,1730,5500,1,1010,360000
3,2920,34527,1,1800,1015000
3,990,8012,1,990,225000
4,3040,6887,2,3040,647000
5,4530,258746,1.5,3200,950000
3,1370,8470,1,1370,185000
3,1940,4927,2,1940,335000
3,1040,2643,2,720,210000
4,1800,8623,1,1360,522000
3,1720,5000,1,1720,770000
3,980,6380,1,760,499950
4,3110,6142,2,3110,751000
5,2100,7715,1,1250,330000
3,2020,11358,1,1190,465000
4,2350,11914,1,2350,850000
4,3290,12329,1.5,3290,947500
5,2180,7813,2,2180,302000
2,1290,1334,3,1290,500000
3,1460,9750,1,1460,201000
2,1290,2828,2,1290,265000
4,2350,3150,1.5,1690,870300
3,1080,8100,1,1080,339000
4,2670,13463,2,2670,690000
4,3680,5759,2,2840,788000
3,1440,8040,1,960,315275
4,1940,4800,1,1030,505000
3,1280,9898,1,1280,368000
3,2980,27144,1.5,2180,947500
3,970,8580,1,970,156000
4,2110,5000,1.5,1640,610000
2,1480,1369,3,1480,420000
2,700,10540,1,700,192000
3,2700,6120,1,1350,910000
4,2330,9687,2,2330,1300000
5,3380,20021,1,1690,1346400
4,2600,2750,1.5,1620,840000
2,1360,8100,1,860,300000
4,2780,6369,1,1590,505000
3,1250,53143,1,1250,110000
3,2620,8950,2,2620,746000
3,1350,7620,1,1350,211000
4,2400,3340,1,1200,675000
4,2760,5000,1.5,1680,734200
4,3070,16028,1,1870,1225000
2,2040,28593,1.5,2040,615000
4,1770,6000,2,1770,630000
4,3490,9170,2,3490,1264000
2,830,1333,2,830,301500
2,980,895,2,670,369000
3,1570,1433,3,1570,635000
4,3270,5187,2,3110,1033888
4,2160,6223,2,2160,383000
4,3280,11000,2,2320,1050000
4,3360,7685,2,3360,455000
5,3150,7119,2,3150,819900
3,1810,1846,2,1440,625000
4,2740,7140,2,2740,651000
5,3830,35000,1,2130,480000
3,3190,5283,2,3190,757000
3,2350,10450,1,1390,460000
4,2510,8165,1,1610,267345
2,1680,4950,1,1680,530000
3,1770,6610,1,960,449500
3,1090,7315,1,1090,289000
5,3001,5710,2,3001,373000
5,2450,4591,2,2450,525000
3,3610,59677,2,2440,777000
4,2250,7500,1,1200,550000
3,1240,7735,1,1240,523000
4,2260,6000,1,1430,628000
4,2090,8164,1,1070,581000
5,2020,7902,1,1220,245000
3,1960,5000,1,980,415000
5,3120,16672,2,3120,1895000
3,1250,7500,1,1250,225000
3,1490,9600,1,1170,287000
6,2890,2370,2.5,2290,799200
3,1900,33888,1.5,1900,239950
3,1680,2400,1,870,591000
3,2030,8398,2,2030,700000
4,3740,8700,1,2260,475000
3,1580,11750,1,1180,575000
3,1780,6120,1.5,1390,771000
2,910,6232,1,910,155000
7,3440,8100,2,3440,550000
3,1740,13750,2,1740,645000
5,3400,8970,1,1700,464000
4,4400,16625,2,4400,1050000
3,2010,14298,2,2010,350000
4,2710,38180,2,2710,591000
4,5300,26211,2,4570,2555000
3,1310,3880,1,1090,717000
4,1950,12559,1.5,1950,225000
3,1040,6535,1,1040,225000
3,1090,7200,1,1090,345000
2,650,5360,1,650,230000
3,1480,6600,1,740,385000
2,790,2640,1,790,90000
4,3560,11119,1,2290,860000
4,3000,5548,2,3000,675000
4,3490,7494,2,3490,975000
3,2340,10495,1,2340,780000
3,1650,8254,1,1060,370000
3,1940,5820,1.5,1150,665000
5,3410,9600,1,1870,675000
3,1710,4050,1.5,1710,620000
4,2740,4000,2,1930,1105000
3,1250,892,2,1040,450000
3,2450,42180,1,2450,450000
3,1690,8190,1,1690,530000
4,1950,13320,1,1370,635000
5,2290,7125,1,1190,580000
5,3370,17458,1,2000,1550000
3,1090,8640,1,1090,285000
3,1190,9486,1,1190,375000
5,3530,7924,2,3530,1400000
3,1440,5000,2,1440,560000
4,2180,13529,1,1090,405000
4,1410,6000,1,810,413000
3,1950,8251,2,1950,287600
5,4860,23723,2,3820,1680000
3,1660,7210,1,1100,225000
3,1390,12823,1,1390,319000
3,1350,14200,1,1350,322500
3,1530,5401,1,1530,570000
3,1270,5112,1,1270,465000
4,2140,6355,2,2140,435000
4,2040,5616,2,2040,502000
3,2876,5086,2,2360,525000
3,1580,1161,2,1010,525000
4,3400,5196,2,3400,660000
4,3520,6773,2.5,2650,870000
4,2210,4861,2,2210,650000
4,2790,5602,2,2790,505000
3,1450,5008,1,840,330000
4,1620,4980,1,860,385000
3,1220,1086,3,1220,306000
3,2000,5000,1,1110,546000
4,2190,7350,2.5,2190,925000
4,1900,8250,1,950,542000
3,1700,4400,1.5,1700,800000
5,2540,3832,2,1760,620000
2,1170,8925,1,1170,175000
5,5774,31675,1,4490,740000
3,2120,15003,2,2120,345000
3,2170,26460,1,1450,510000
4,2450,15002,1,2450,530000
2,700,5200,1,700,155000
3,1780,7214,1,1400,266000
3,1850,8250,1,1150,257200
3,1570,5706,1,1570,265000
3,1290,5500,1,980,372220
5,1700,7314,1,1000,337500
2,1159,4800,1,1159,582500
3,1850,9600,1.5,1850,489200
2,840,3522,1,840,405100
3,1690,1618,2,1150,372977
3,1050,9876,1,1050,310000
3,1400,3825,1.5,1100,538000
3,2550,7200,2,2550,1400000
3,1840,5011,2,1840,317000
3,2360,6750,2,1930,702500
4,2240,14667,2,2240,565000
4,2700,4004,2,2700,723000
3,3030,30007,1.5,3030,766950
3,1830,5120,1.5,1830,682000
3,2220,6049,2,2220,325000
3,2090,7640,1,1360,543000
3,1600,6120,1.5,1600,525000
4,2010,8625,1,1340,364000
2,830,4000,1,830,394475
4,2010,7226,2,2010,316000
3,1050,5402,1.5,1050,339950
4,2150,39449,1,1420,486000
3,860,11900,1,860,160000
3,3100,20553,1,3100,930000
3,1100,17334,1,1100,139000
3,1830,8000,1,1830,562000
2,1250,34395,1,1250,299000
3,1820,4883,2,1820,511000
3,2090,42689,1.5,2090,499000
3,2100,12384,2,2100,356000
4,2310,14023,2,2310,470000
4,2060,5649,1,1360,715000
4,4470,60373,2,4470,1120000
3,1660,7500,1,1060,458000
5,3810,8019,2,3810,966000
3,2110,10200,2,2110,305495
2,2370,217800,1.5,1600,543000
3,1970,3716,2,1970,340000
4,2470,33305,2,2470,633100
3,1480,7830,1,1480,310000
5,2257,10117,1,1363,349950
2,700,6000,1,700,267800
4,1630,9010,1,1050,234000
4,3430,10157,2,3430,740000
5,2220,6000,1.5,1420,607500
3,1340,7473,1,1340,223000
2,980,2130,1,860,400000
3,2580,13096,2,2580,802000
4,2230,4541,2,2230,253000
4,2290,11137,1,2290,1058000
3,1260,8280,1,1260,300000
4,1680,11180,1,1680,625000
4,3200,7081,2,3200,707000
4,3320,7644,2,3320,950000
4,3040,24123,2,3040,420000
4,2270,7375,1,1290,498000
3,2910,17172,2,2910,450000
5,2510,9887,2,2510,955000
2,1240,7200,1,1240,215000
3,2580,5200,2,2580,437000
3,2470,3600,2,2470,773000
4,4910,9444,1.5,3110,1222500
3,1690,5025,2,1690,256883
4,2240,12032,1,2240,592500
3,1650,7352,1,1160,252350
4,2710,5880,2,2710,370000
3,1260,10350,1,1260,465750
3,1150,8100,1,1150,185000
4,2550,7636,1,1440,582800
3,1490,6930,1,1490,245000
4,2020,7865,1,1010,302000
2,1320,4520,1,1320,451555
3,1230,10350,1,1230,250000
4,2070,7800,2,2070,255000
4,2930,11562,1,1670,840000
3,1090,8520,1,1090,190000
3,1400,7066,1,1400,349950
4,1550,4815,1.5,1550,613000
3,1220,13000,1,1220,300000
3,1870,7344,1,1470,455000
3,2150,30476,2,2150,335000
3,980,3090,1.5,980,197500
3,1490,8475,1,1490,412500
3,1120,7000,1,1120,395300
3,1180,9630,2,1180,342400
4,3240,20301,2,3240,749400
4,2150,6807,2,2150,316500
3,2240,10800,2,2240,390000
3,1400,7384,1,1150,225000
3,1980,40887,1,1980,550000
3,1330,20562,1.5,1330,280000
4,3200,7535,2,3200,1255000
2,1490,6000,1,1090,575000
5,3920,16258,2,2900,1000000
5,2000,3750,2,2000,585000
4,2680,9185,2,2680,620000
4,1670,9987,1,1670,204700
4,3150,9130,2,3150,695000
4,2740,7266,2,2060,689900
4,1890,8000,1,1250,375000
7,2870,29699,1,1520,475000
3,1160,10384,1,1160,215000
4,3550,19865,2,3550,2100000
3,1790,6117,1,1350,790000
3,1680,250470,1,1070,350000
3,4560,17622,2,3800,695000
3,1590,7748,2,1590,263000
3,1630,10304,1,1630,400000
3,2700,7434,2,2700,525000
3,1700,7496,2,1700,349950
4,3740,12080,1,2000,1085000
4,1980,5352,2.5,1980,744000
2,880,6345,1,880,312500
3,1400,6200,1,700,240000
4,2050,4000,1.5,1210,495000
3,2360,4638,2,2360,580050
4,2560,7798,1,1890,640000
3,1340,10224,1,1340,417000
3,1060,5200,1,1060,174950
3,850,2500,1,850,295000
4,1880,7303,1,1010,423000
3,1230,12305,1,1230,839000
4,2290,10290,1,1340,343000
3,1660,6582,1,1000,467000
3,1840,2875,2,1840,512500
4,3020,17810,1,1600,575000
3,1410,6886,1,1410,465000
3,1010,9514,1,1010,270000
3,1960,8136,1,980,340000
5,3580,14275,2,3190,765000
4,2240,7200,2,2240,497000
4,3310,5404,2,3310,803100
3,1232,1130,3,1232,344000
4,3930,5680,2,2820,828950
3,1720,3600,2,1720,386380
3,1490,974,2,1220,312000
3,3150,151588,2,3150,720000
4,3950,10856,3,3950,914500
5,3030,10335,2,3030,819995
2,1070,9643,1,1070,252700
3,2320,36847,2,2320,437500
1,700,5100,1,700,350000
3,2720,6439,2,2720,619000
3,1800,5761,2,1800,408200
3,1560,4049,1.5,1000,451000
3,1760,11410,1,1060,317000
4,3120,5000,2,2370,799000
2,2020,7200,1,1700,720000
3,1450,2400,1.5,1450,490000
4,1860,7000,1,1120,239900
4,2270,7800,1,1290,446000
3,1480,15639,2,1480,275000
5,1460,6032,2,1460,239950
4,1850,6519,2,1130,248000
3,2170,5000,2,2170,619500
3,1726,197326,2,1726,363750
3,1180,10541,1,940,385000
4,1370,9957,1,900,370000
3,2670,13218,1,2670,425000
3,1260,6826,1,720,342000
4,1980,7991,1.5,1980,345000
3,2050,3933,1,1180,724800
5,2830,5310,2,2830,725000
2,910,3600,1,910,605000
4,2440,4000,2,2440,350000
3,2180,5440,1,1100,785000
3,1900,6660,1,950,250000
3,1520,1221,3,1520,565000
3,2220,6641,1,1220,875000
4,3280,24440,2,3280,862500
3,2740,83199,2,2740,400000
2,830,6017,1,830,282613
2,1010,5200,1,1010,174500
3,2060,38377,1,1560,306500
3,1990,7340,2,1990,445000
4,2280,7568,2,2280,433000
3,1870,5874,2,1870,306000
3,1720,4000,1.5,1450,620000
2,870,6150,1,870,245000
3,1020,1204,2,720,238000
3,1260,3135,1.5,1260,523000
3,2370,7875,2,2370,522500
3,1000,18513,1,1000,180000
3,1100,1751,2,940,375000
3,1440,7673,1,940,249000
4,3120,14300,2,3120,730100
2,2260,9604,1,2260,551000
4,2790,7956,2,2790,375000
1,1140,6700,1.5,1140,540000
3,1290,2500,2,1290,605000
5,1730,5200,1,1050,205000
4,3160,11380,2,3160,645000
4,2340,8990,2,2340,314000
3,1170,4950,1,1170,330000
2,1160,5000,1,1160,490000
3,1970,24318,1,1970,445000
5,6490,10862,2,3940,2000000
3,1410,1377,2,1290,377500
4,2430,5000,2,2430,480000
5,3360,5402,2,3360,804995
3,1480,1663,2,1180,341000
5,3200,6455,2,3200,675000
3,2134,1984,2.5,2134,611000
3,1860,1787,3,1860,379950
4,5520,8313,2,3570,1270000
2,1310,1500,2,1160,500000
3,1700,4250,1,890,410000
3,2480,8342,2,2480,415000
5,1970,8605,2,1970,297000
4,2060,7475,1,1440,575550
3,2130,3500,1,1210,534640
3,1410,14110,1,1170,352500
2,1360,4688,1,780,488000
3,1940,55756,1,1940,732000
2,1610,2040,2,1610,215000
2,1420,9191,1.5,1420,592500
4,1700,7280,2,1700,290000
2,1490,3825,1,860,475000
3,2680,7757,2,2680,320000
4,3190,8684,1,1680,1216000
5,2120,7700,1.5,2120,290000
