area,bedrooms,bathrooms,parking,stories,price
5000,3,1,0,3,5740000
6360,3,1,2,1,5740000
5800,3,2,0,4,5740000
6660,4,2,1,2,5652500
10500,4,2,1,2,5600000
4800,5,2,0,3,5600000
4700,4,1,1,2,5600000
5000,3,1,0,4,5600000
10500,2,1,1,1,5600000
5500,3,2,1,2,5600000
6360,3,1,0,3,5600000
6600,4,2,0,1,5600000
5136,3,1,0,2,5600000
4400,4,1,2,2,5565000
5400,5,1,0,2,5565000
3300,3,3,0,2,5530000
3650,3,2,2,2,5530000
6100,3,2,2,1,5530000
6900,3,1,0,1,5523000
2817,4,2,1,2,5495000
7980,3,1,2,1,5495000
3150,3,2,0,1,5460000
6210,4,1,0,4,5460000
6100,3,1,0,3,5460000
6600,4,2,0,2,5460000
6825,3,1,0,1,5425000
6710,3,2,1,2,5390000
6450,3,2,0,1,5383000
7800,3,1,2,1,5320000
4600,2,2,2,1,5285000
4260,4,1,0,2,5250000
6540,4,2,0,2,5250000
5500,3,2,0,1,5250000
10269,3,1,1,1,5250000
8400,3,1,2,2,5250000
5300,4,2,0,1,5250000
3800,3,1,1,2,5250000
9800,4,2,2,2,5250000
8520,3,1,2,1,5250000
6050,3,1,0,1,5243000
7085,3,1,2,1,5229000
3180,3,2,2,2,5215000
4500,4,2,2,1,5215000
7200,3,1,1,2,5215000
3410,3,1,0,2,5145000
7980,3,1,1,1,5145000
3000,3,2,0,2,5110000
3000,3,1,0,2,5110000
11410,2,1,0,2,5110000
6100,3,1,0,1,5110000
5720,2,1,0,2,5075000
3540,2,1,0,1,5040000
7600,4,1,2,2,5040000
10700,3,1,0,2,5040000
6600,3,1,0,1,5040000
4800,2,1,0,1,5033000
8150,3,2,0,1,5005000
4410,4,3,2,2,4970000
7686,3,1,0,1,4970000
2800,3,2,1,2,4956000
5948,3,1,0,2,4935000
